Tooth,Jaw,Augmented_Missing%,Random_Missing%,Difference
11,upper,27.010309278350515,26.222222222222225,-0.7880870561282904
12,upper,29.07216494845361,26.944444444444443,-2.1277205040091687
13,upper,35.876288659793815,30.22222222222222,-5.654066437571593
14,upper,27.628865979381445,26.5,-1.1288659793814446
15,upper,27.835051546391753,27.166666666666668,-0.6683848797250853
16,upper,22.68041237113402,27.666666666666668,4.986254295532646
17,upper,45.77319587628866,38.0,-7.773195876288661
18,upper,95.4639175257732,95.38888888888889,-0.07502863688431205
21,upper,28.865979381443296,26.944444444444443,-1.921534936998853
22,upper,35.051546391752574,25.444444444444443,-9.60710194730813
23,upper,35.051546391752574,31.222222222222225,-3.8293241695303486
24,upper,27.835051546391753,26.77777777777778,-1.0572737686139746
25,upper,29.48453608247423,27.27777777777778,-2.20675830469645
26,upper,26.18556701030928,26.166666666666664,-0.018900343642616946
27,upper,43.29896907216495,36.94444444444444,-6.354524627720508
28,upper,95.6701030927835,96.0,0.3298969072164937
31,lower,31.235955056179776,25.333333333333336,-5.90262172284644
32,lower,30.56179775280899,25.27777777777778,-5.28401997503121
33,lower,26.741573033707866,28.22222222222222,1.4806491885143558
34,lower,27.415730337078653,26.444444444444443,-0.9712858926342101
35,lower,28.08988764044944,27.88888888888889,-0.20099875156055091
36,lower,24.9438202247191,26.166666666666664,1.2228464419475635
37,lower,34.60674157303371,33.111111111111114,-1.4956304619225946
38,lower,95.28089887640449,95.0,-0.2808988764044926
41,lower,31.011235955056183,25.88888888888889,-5.122347066167293
42,lower,29.8876404494382,24.72222222222222,-5.16541822721598
43,lower,31.685393258426963,25.944444444444443,-5.74094881398252
44,lower,29.213483146067414,24.72222222222222,-4.491260923845193
45,lower,25.617977528089884,26.27777777777778,0.6598002496878941
46,lower,26.516853932584272,27.500000000000004,0.9831460674157313
47,lower,33.03370786516854,31.333333333333336,-1.7003745318352017
48,lower,95.28089887640449,95.11111111111111,-0.16978776529337836
