Tooth,Precision,Sensitivity,Specificity,F1-Score,Balanced Accuracy
11,0.0,0.0,1.0,0.0,0.5
12,0.0,0.0,1.0,0.0,0.5
13,1.0,0.06666666666666667,1.0,0.125,0.5333333333333333
14,0.0,0.0,1.0,0.0,0.5
15,0.0,0.0,1.0,0.0,0.5
16,0.0,0.0,1.0,0.0,0.5
17,0.7878787878787878,0.48148148148148145,0.9771241830065359,0.5977011494252873,0.7293028322440087
18,0.9774011299435028,0.9829545454545454,0.9782608695652174,0.9801699716713881,0.9806077075098814
21,0.0,0.0,1.0,0.0,0.5
22,0.0,0.0,1.0,0.0,0.5
23,0.0,0.0,1.0,0.0,0.5
24,0.0,0.0,1.0,0.0,0.5
25,0.0,0.0,1.0,0.0,0.5
26,0.0,0.0,1.0,0.0,0.5
27,0.7586206896551724,0.4074074074074074,0.9771241830065359,0.5301204819277108,0.6922657952069716
28,0.9772727272727273,0.9772727272727273,0.9782608695652174,0.9772727272727273,0.9777667984189724
31,0.0,0.0,1.0,0.0,0.5
32,0.0,0.0,1.0,0.0,0.5
33,0.0,0.0,1.0,0.0,0.5
34,0.0,0.0,1.0,0.0,0.5
35,0.0,0.0,1.0,0.0,0.5
36,0.0,0.0,1.0,0.0,0.5
37,0.7142857142857143,0.6410256410256411,0.9688473520249221,0.6756756756756757,0.8049364965252817
38,0.9548022598870056,0.9941176470588236,0.9578947368421052,0.9740634005763689,0.9760061919504643
41,0.0,0.0,1.0,0.0,0.5
42,0.0,0.0,1.0,0.0,0.5
43,0.0,0.0,1.0,0.0,0.5
44,0.0,0.0,1.0,0.0,0.5
45,0.0,0.0,1.0,0.0,0.5
46,0.0,0.0,1.0,0.0,0.5
47,0.6764705882352942,0.6052631578947368,0.9658385093167702,0.6388888888888888,0.7855508336057535
48,0.9548022598870056,0.9883040935672515,0.9576719576719577,0.9712643678160918,0.9729880256196046
